さいたま                0:3,7:1
市                   0:19,1:2,2:4,3:9,4:2,5:2,6:13,7:11,9:8,10:13,11:2,12:5,13:6,14:4,15:6,16:17,17:2,18:17,19:2
埼玉                  0:4
県                   0:4,1:1,2:3,3:2,4:2,5:2,6:8,7:2,9:1,13:1,14:3,15:2,16:6,18:2,19:2
南東                  0:1,15:1
部                   0:3,2:5,4:2,8:4,9:2,10:1,11:3,12:1,13:4,14:1,15:5,16:2,17:1
位置                  0:4,4:3,9:1,13:2,19:1
県庁                  0:2,3:1,4:2,9:1,14:1
所在地                 0:3,3:3,9:2,14:1,16:1,18:1
政令                  0:5,1:1,3:1,6:2,7:4,8:1,9:3,10:1,11:1,12:1,14:1,15:1,16:6,18:2,19:2
指定                  0:5,1:2,3:2,6:2,7:4,8:1,9:3,10:3,11:1,12:1,13:2,14:1,15:2,16:7,18:3,19:3
都市                  0:7,1:21,2:4,3:7,4:14,5:4,6:6,7:8,8:5,9:5,10:10,11:3,12:8,13:4,14:8,15:9,16:17,17:3,18:15,19:5
2001                0:1,14:1
年                   0:6,1:5,3:2,4:3,5:3,6:8,8:4,9:1,10:6,11:6,12:8,13:1,14:2,15:6,16:8,17:1,18:10,19:4
平成                  0:3,5:1,8:2,11:2,12:1,14:1,15:2,19:1
13                  0:1,1:1,3:1,10:1
5                   0:1,2:1,4:1,7:2,15:1,16:1,18:2
月                   0:3,1:1,3:2,6:2,8:1,10:4,11:2,15:2,16:6,18:1,19:1
1                   0:4,1:1,2:2,4:1,5:1,6:1,7:3,8:1,9:3,10:1,11:4,12:2,15:1,16:2,18:1,19:1
日                   0:3,1:1,3:2,8:1,10:3,11:3,15:2,16:5,19:1
浦和                  0:1
大宮                  0:1
与野                  0:1
3                   0:3,2:1,5:2,6:2,7:2,9:1,10:2,13:1,14:1,15:5,16:7,18:1,19:2
合併                  0:1,3:1,8:1,11:1,12:1,14:3,16:1,18:1,19:1
新設                  0:1,19:1
2003                0:1
15                  0:2,7:1,9:1
4                   0:3,1:1,3:1,6:2,7:2,8:3,10:3,11:2,12:2,14:1,15:1,16:2,18:1,19:2
移行                  0:1,8:1,11:1,14:2,15:2,16:3,18:1,19:1
その後                 0:1,4:1,6:1,7:3,12:2,16:1,18:3
2005                0:1,8:1,11:1,19:1
17                  0:1,8:1,11:1,19:1
東                   0:1,3:1,4:1,8:2,15:1,18:1,19:1
隣接                  0:2,3:1,13:1
岩槻                  0:1
編入                  0:1,12:1,16:1
現在                  0:2,1:1,2:1,3:1,4:2,6:1,7:1,8:1,9:1,10:4,11:1,12:2,13:1,14:1,15:3,17:1,18:3,19:1
市域                  0:2,1:1,4:1,6:1,7:1,11:2,12:1,13:1,15:1,16:1
100                 0:1,4:1,9:2,10:2,11:1,16:1,19:1
万                   0:1,1:1,2:2,4:2,5:1,7:3,8:1,9:1,10:5,11:2,12:1,14:5,15:2,16:2,18:2,19:4
日本                  0:5,1:6,3:1,4:2,5:4,6:1,7:2,8:1,9:1,10:2,12:1,17:5,18:3
9                   0:1,7:1
番目                  0:4,5:2,6:1,7:1,10:2,12:1,14:3,15:2,16:2,18:1,19:1
人口                  0:3,1:3,2:3,3:3,4:2,5:1,6:5,7:7,8:1,9:4,10:6,11:2,12:2,14:4,15:2,16:6,18:11,19:4
18                  0:1,16:1
関東                  0:1,4:2,9:1
地方                  0:1,2:2,3:1,5:1,8:2,10:3,14:1,15:2,18:10
中央                  0:2,4:8,6:1,7:1,16:2,18:2,19:1
唯一                  0:2,1:1,5:1,8:1,9:1,10:2,14:1,16:1
内陸                  0:1,16:1
県内                  0:3,2:3,3:1,4:1,5:1,7:1,9:2,15:1,16:2,19:2
南部東                 0:1
寄り                  0:1
地域                  0:2,1:1,2:1,3:1,4:1,5:1,6:4,8:2,9:1,10:2,13:3,14:1,15:2,16:3,18:1,19:1
区分                  0:2,6:1
こと                  0:1,2:2,4:3,6:7,7:3,8:1,11:3,16:3,17:2,18:1
首都                  0:1,1:3,4:6,7:2,10:1,16:4,19:1
東京                  0:2,1:3,4:7,7:2,9:6,13:2,16:7,17:1,19:1
都心                  0:1,2:2,4:6,6:2,7:2,13:9,15:2,16:3,19:4
北                   0:1,7:1,8:1,12:1,13:2,14:1,16:1
20                  0:1,4:2,7:2,9:1,10:1
キロメートル              0:1,4:1
距離                  0:1
横浜                  0:1,7:4,9:2,12:1,13:25,16:1,17:1
千葉                  0:1,4:25,7:1
比較                  0:1,6:1,15:1
所在                  0:1
袤                   0:1
東西                  0:1,12:1,17:1,19:1
19                  0:2,11:1,16:1
.                   0:3,1:1,2:4,4:2,7:1,9:3,15:2,16:1
6                   0:1,1:1,10:1,14:2,15:1,16:1
km                  0:3,7:1,13:3,15:1
南北                  0:1,9:1,12:2,19:1
面積                  0:1,6:2,7:2,9:2,14:2,15:1,19:1
217                 0:1
43                  0:1
2                   0:3,2:1,3:3,6:1,7:4,9:2,12:2,13:1,14:2,15:2,16:2,18:2,19:1
川崎                  0:1,3:1,6:1,7:1,9:5,10:1,13:1,16:1
堺                   0:1,6:9,7:1
一方                  0:1,1:1,4:1,14:1
市町村                 0:3,7:1,12:1,14:2
秩父                  0:2
数                   0:1,2:1,8:1,9:1,10:1,12:1,18:1
12                  0:1,15:1
都道府県                0:2,1:1,3:2,9:1,16:1,18:1
庁                   0:2,3:2,9:1,16:1,18:1
初                   0:1,2:1,3:2,12:1,16:1
表記                  0:2
例                   0:1
ため                  0:1,1:1,5:1,6:2,7:2,9:2,11:1,12:1,14:1,15:2,16:2
ら                   0:1
最多                  0:2,7:1
文字数                 0:1
文字                  0:1
令                   1:1,15:1
制                   1:1,16:1
国                   1:5,10:2,15:2,16:1
山城                  1:3
葛野                  1:1
郡                   1:8,6:3,10:1
愛宕                  1:1,8:1
紀伊                  1:1
全域                  1:1,9:1,15:1
宇治                  1:1
乙訓                  1:1
丹波                  1:1
桑田                  1:1
一部                  1:2,4:1,16:2
久世                  1:1
綴喜                  1:1
京都                  1:7,7:1,12:1,17:1,18:1
府                   1:4,6:3,12:1
最大                  1:2,3:2,4:1,7:2,9:1,10:2,13:2,18:6
56                  1:1
8                   1:1,2:1,10:1,11:1,12:1
%                   1:1,2:3,4:1,9:1,15:2,16:1
2021                1:1,16:1
全体                  1:1,12:1
過半数                 1:1
23                  1:1,7:1,15:1,16:1
区                   1:1,4:8,7:15,8:1,11:1,13:12,14:4,16:4,17:2,19:4
一つ                  1:3,8:1,13:1
場合                  1:1,16:1
圏                   1:8,2:3,3:3,4:6,5:3,6:2,7:4,8:3,11:2,12:1,14:1,16:4,18:3
滋賀                  1:1
京滋                  1:1
中核                  1:1,3:1,4:1,13:1
京阪神                 1:1,7:2
近畿大                 1:1
一角                  1:2,5:1,10:1,13:1,17:1
雇用                  1:1,3:1,6:1,11:1,18:1
基準                  1:1,14:1,15:1
280                 1:1
人                   1:1,2:2,4:1,5:1,7:3,8:1,9:1,10:3,11:2,12:1,14:8,15:1,16:2,18:2,19:3
大阪                  1:1,6:7,7:4,12:1,17:1,18:1
名古屋                 1:1,5:5,7:1,12:1,17:1,19:1
位                   1:1,2:2,3:3,7:3,9:2,16:2,18:3,19:1
規模                  1:1,2:1,3:1,4:1,5:1,6:3,7:1,10:1,14:2,15:1,16:1,18:1,19:1
延                   1:1
暦                   1:1
794                 1:1
平安京                 1:1
基礎                  1:1,15:1
明治天皇                1:1,10:1
行幸                  1:1
1080                1:1
皇室                  1:1
公家                  1:1
集                   1:1,14:1
住                   1:1,14:1
千                   1:1
都                   1:3,2:2,4:4,7:1,9:1,10:1,11:2,15:1,16:3
雅称                  1:1,2:1
議論                  1:1
参照                  1:1,2:1,18:1
平安                  1:2
時代                  1:12,5:1,8:1,10:2,11:1,14:2,18:2,19:1
室町                  1:3
幕府                  1:1
期                   1:4,8:2,17:1
政治                  1:2,4:1,19:1
中心                  1:2,2:1,3:1,4:6,5:2,6:1,7:3,8:4,9:5,10:3,11:2,12:1,13:9,14:2,15:6,16:4,17:1,18:1
地                   1:1,2:1,4:4,5:1,6:1,9:2,12:1,13:5,14:1,15:1,17:3,18:1
鎌倉                  1:2
中                   1:3,2:2,4:2,6:1,7:4,8:1,9:1,10:2,12:1,13:5,14:1,16:1,18:2,19:1
戦国                  1:1,10:1,14:1
安土                  1:1
桃山                  1:1
江戸                  1:4,5:1,8:1,10:1,14:1,18:1,19:2
幕末                  1:1,11:1
役割                  1:1,4:2,13:1,15:1
前期                  1:1
市街地                 1:1,8:1,9:1,10:2,16:1,17:1
京                   1:3,9:1,13:1,19:1
以降                  1:2,8:2,16:1,18:1
洛中                  1:1
三                   1:2,3:1,4:1,5:2,6:1,8:1,14:1,17:2,18:1
明治                  1:1,8:1,10:1,11:2,12:2,18:1
大正                  1:1,17:1
六                   1:1,8:1,13:1,17:1
大都市                 1:2,3:1,5:1,7:2,14:1,17:1,18:1,19:1
五                   1:1,3:1,11:1,13:1,17:1,18:1
各々                  1:1
戦後                  1:1,10:1,16:3,17:1
よう                  1:1,2:1,4:1,6:1,15:1,16:1,18:2
生活                  1:1,13:2
者                   1:3,2:1,7:1,9:3,10:2,14:1,16:1,19:1
向け                  1:1,9:1
商                   1:1
工業                  1:2,3:1,4:4,9:3,10:1,13:3,14:1,16:1,17:2
発達                  1:1,11:1,18:1
国内                  1:1,5:1,7:2,10:1,17:1,18:3
流通                  1:1
活発                  1:1
化                   1:1,2:1,8:1,9:1,14:1
全国                  1:1,7:3,8:1,10:2,12:1,14:1,16:2,17:1,18:1,19:1
製品                  1:1
出荷                  1:1
数々                  1:1,2:1
技術                  1:2,4:1,14:1
各地                  1:1
藩                   1:1,2:1,4:1,8:1,10:1,15:1
要請                  1:1
派遣                  1:1
伝統                  1:2
工芸                  1:1
京セラ                 1:1
島津製作所               1:1
先端                  1:1,4:1
企業                  1:1,4:2,12:1,14:1,15:1
はじめ                 1:2,3:1,4:1,17:1
任天堂                 1:1
ワコール                1:1
業界                  1:1
トップクラス              1:1
本社                  1:1,3:2,4:1,6:1,14:1
現代                  1:1
産業                  1:1,4:1,10:1,16:1,17:2,18:1
二                   1:1,10:2,16:1
次                   1:1,6:1,10:2,16:1,18:1
世界                  1:1,4:1,5:2,7:1,10:4,12:2,16:1,18:4,19:1
大戦                  1:1,10:2,16:1
戦災                  1:1
被害                  1:1,17:1
神社                  1:1,4:1,17:3,19:1
仏閣                  1:1
史跡                  1:1
町並み                 1:1
存在                  1:1,4:2,5:1,8:1,10:1,11:2,13:1,15:2,19:1
宗教                  1:1
貴族                  1:1
武家                  1:1
庶民                  1:1
様々                  1:1,13:1
歴史                  1:1,3:1,5:1,6:1,10:1,17:1
的                   1:1,4:1,5:1,6:1,7:2,8:1,10:4,11:1,12:1,13:4,14:1,17:2,19:1
文化                  1:3,2:1,4:1,10:1,12:1,14:3,17:1,18:1
祭り                  1:1,8:1
国内外                 1:2
観光                  1:4,2:1,12:3,14:1,17:2,19:3
客                   1:1,9:1,12:1,19:1
国際                  1:2,4:7,5:1,10:1,12:5
法                   1:1,16:1
帝国                  1:1,10:1,18:1
大学                  1:2,4:1,5:1,8:3,18:1
京都大                 1:1
学                   1:1
多数                  1:1,4:1,11:1,13:1,14:1
集積                  1:1,2:1,4:3,6:1,13:1,14:2,16:1
学生                  1:1
研究                  1:1,5:1
学園                  1:1
仙台                  2:13,10:1
周囲                  2:1
広瀬川                 2:1
青葉山                 2:1
自然                  2:1
街路                  2:1
樹                   2:1
緑                   2:1,16:1
杜                   2:1
学都                  2:1,8:2
楽                   2:1
キャッチコピー             2:1
東北                  2:3
代表                  2:1,5:1,15:1,17:1
港湾                  2:1,3:1,4:2,17:1
サーフ                 2:1
スポット                2:1
港                   2:2,3:3,4:5,5:2,11:2,17:2
塩釜                  2:1
北東                  2:1,13:1
宮城                  2:4
宿泊                  2:1
客数                  2:1
秋保                  2:1
温泉                  2:1
南西                  2:1,16:2
利用                  2:1,18:1
スプリング               2:1
バレー                 2:1
泉                   2:1
高原                  2:1
スキー                 2:1,12:1
場                   2:1
北西                  2:1,9:1,13:1
中国                  2:1,8:2
魯迅                  2:1
留学                  2:1
東日本                 2:1
等                   2:2,8:1,10:1,14:1,17:1
海外                  2:1
商店                  2:1,6:1
街                   2:1,9:4,10:1,12:2,13:4,14:1,15:1,17:5
イベント                2:3,12:1,19:1
定着                  2:1
七夕                  2:2
まつり                 2:1,14:1,19:1
困難                  2:1
公的                  2:1
財源                  2:1
イルミネーション            2:1
SENDAI              2:1
光                   2:1
ページェント              2:1
街角                  2:1
無料                  2:1
音楽                  2:2,14:2
祭                   2:2
禅                   2:1
寺                   2:1,5:1
ストリートジャズフェスティバル     2:1
それ                  2:1,10:1,11:1
バリアフリー              2:1
市民                  2:1,10:1,15:1
